Name,Country,City,Screening Date - Year,Screening Date - Month,Screening Date - Day,Local Release Title,Original Release Title,US Release Title or English Translation,Director,Year of Production,Country of Production,Duration,Series Theme,Nature of Screening,Provenance of Print,Other Notes
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Masa y dinamita,Dough and Dynamite,,Charles Chaplin,1914,United States,short,Films de Charles S. Chaplin,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Carlitos inmigrante,The Immigrant,,Charles Chaplin,1917,United States,short,Films de Charles S. Chaplin,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Carlitos aventurero,The Adventurer,,Charles Chaplin,1917,United States,short,Films de Charles S. Chaplin,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Armas al hombro,Shoulder Arms,,Charles Chaplin,1918,United States,short,Films de Charles S. Chaplin,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Corresponsal extranjero,Foreign Correspondent,,Alfred Hitchcock,1940,United States,feature,Un film de Alfred Hitchcock,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Pintura moderna en los Estados Unidos,Art Discovers America,,,1943,United States,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Maillol,,Jean Lods,1946,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Henri Matisse,,François Campaux,1946,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Pintura abstracta,Painting in Abstraction,,Elliot O'Hara,1946,United States,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Alexander Calder: Sculptures and Constructions,,Irving Hartley,1948,United States,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Van Gogh,,Alain Resnais,1948,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Gaugin,,Alain Resnais,1950,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,El affaire Manet,L'Affaire Manet,,Jean Aurel,1951,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,La peste alada,Winged Scourge,,Walt Disney,1945,United States,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Canción de Navidad,Christmas Carols,,Leslie Bell,1947,Canada,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Vamos a la feria,Come to the Fair,,Art Price,1949,Canada,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,La romántica historia del transporte canadiense,The Romance of Transportation in Canada,,C. Low,1952,Canada,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,El hombre en la tierra,Man on the Land,,Bill Hurts,1953,United States,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Las damas del bosque de Boloña,Les dames du Bois de Boulogne,,Robert Bresson,1944,France,feature,Cuatro realizadores: Francia,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Silvia y el fantasma,Sylvie et le fantôme,,Claude Autant-Lara,1946,France,feature,Cuatro realizadores: Francia,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Bim,,Albert Lamorisse,1949,France,feature,Cuatro realizadores: Francia,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Orphée,,Jean Cocteau,1950,France,feature,Cuatro realizadores: Francia,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,El nacimiento del cine,La naissance du cinéma,,Roger Leenhardt,1945,France,feature,El cine cuenta su historia,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,…Y ahora Miguel,…And now Miguel…,,Joseph Krumgold,1952,United States,feature,Un documental norteamericano,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Puntos,Dots,,Norman McLaren,1940,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Rizos,Loops,,Norman McLaren,1940,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Boogie-Doodle,,Norman McLaren,1941,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Hen Hop,,Norman McLaren,1942,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Percusión a punta de pluma,Pen point percussion,,Norman McLaren,1946,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Hoppity Hop,,Norman McLaren,1946,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,La gallinita gris,Poulette grise,,Norman McLaren,1947,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Fiddle-De-Dee,,Norman McLaren,1947,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Dos bagatelas,Two Bagatelles,,Norman McLaren,1949,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Begone Dull Care,,Norman McLaren,1950,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Los trabajos de Calder,Works of Calder,,Herbert Matter,1950,United States,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Vecinos,Neighbours,,Norman McLaren,1952,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El nacimiento del cine,La naissance du cinéma,,Roger Leenhardt,1945,France,feature,El cine cumple 60 años,repeat,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Lumière,,Paul Paviot,1953,France,short,El cine cumple 60 años,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El hombre de la cabeza de caucho,L'homme a la tête de caoutchouc,,Georges Méliès,1901,France,short,Evocación de Georges Méliès,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El reino de las hadas,Le royaume des fées,,Georges Méliès,1903,France,short,Evocación de Georges Méliès,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,A la conquista del Polo,La conquête du pole,,Georges Méliès,1912,France,short,Evocación de Georges Méliès,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Día de pago,Pay Day,,Charles Chaplin,1922,United States,short,Charles S. Chaplin,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El reverendo caradura,The Pilgrim,,Charles Chaplin,1923,United States,short,Charles S. Chaplin,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La melodía del mundo,Melodie der Welt,,Walter Ruttmann,1929,Germany,feature,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Hombres de Aran,Man of Aran,,Robert Flaherty,1934,United Kingdom,feature,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Correo nocturno,Night Mail,,"Harry Watt, Basil Wright",1936,United Kingdom,feature,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Sinfonía en blanco,Symphonie en Blanc,,"René Chanas, François Ardoin",1942,France,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El asalto a las agujas del Diablo,A l'assaut des aguilles du diable,,Marcel Ichac,1945,France,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La gaviota,Trut,,Arne Sucksdorff,1944,Sweden,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Épaves,,Jacques Yves Costeau,1945,France,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,September,21,Acero,Steel,,Ronald Riley,1945,United Kingdom,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Ritmo de una ciudad,Människa I Stad,,Arne Sucksdorff,1946,Sweden,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Paisaje del silencio,Paysages du silence,,Jacques Yves Costeau,1947,France,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Los pueblos dormidos,,,Leo Fleider,1948,Argentina,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Paris 1900,,Nicole Vedrés,1950,France,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Mi amigo Pedro,Mon ami Pierre,,"Louis Félix, Paula Neurisse",1951,France,short,El documental,premiere,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Las cuatro estaciones,The Four Seasons of the Year,,,,Canada,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Pasando por Lorena,En passant pour la Lorraine,,Georges Franju,1951,France,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Echen las redes,T schot is te boord,,Herman van der Horst,1952,Netherlands,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Nace la escena de un film,Eine filmszene ensteht,,Ernest Niederreithen,1955,Germany,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Un teatro independiente,,,Simón Feldman,1955,Argentina,short,El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Treinta y nueve escalones,The Thirty-Nine Steps,,Alfred Hitchcock,1935,United Kingdom,feature,Cuatro films ingleses de Alfred Hitchcock,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Sabotaje,Sabotage,,Alfred Hitchcock,1936,United Kingdom,feature,Cuatro films ingleses de Alfred Hitchcock,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La dama desaparece,The Lady Vanishes,,Alfred Hitchcock,1936,United Kingdom,feature,Cuatro films ingleses de Alfred Hitchcock,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La posa de maldita,Jamaica Inn,,Alfred Hitchcock,1939,United Kingdom,feature,Cuatro films ingleses de Alfred Hitchcock,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La fuga,,,Luis Saslavsky,1937,Argentina,feature,Revisión valorativa del cine argentino,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La vuelta al nido,,,Leopoldo Torres Ríos,1937,Argentina,feature,Revisión valorativa del cine argentino,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Mateo,,,Daniel Tinayre,1937,Argentina,feature,Revisión valorativa del cine argentino,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Prisioneros de la tierra,,,Mario Soffici,1939,Argentina,feature,Revisión valorativa del cine argentino,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Días de odio,,,Leopoldo Torre Nilsson,1954,Argentina,feature,Revisión valorativa del cine argentino,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La carreta fantasma,La charrete fantôme,,Julien Duvivier,1939,France,feature,Ocho realizadores franceses,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Cartas de amor,Lettres d'amour,,Claude Autant-Lara,1942,France,feature,Ocho realizadores franceses,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Alma de alpinista,Premier de cordée,,Louis Daquin,1943,France,feature,Ocho realizadores franceses,repeat,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Las damas del bosque de Boloña,Les dames du Bois de Boulogne,,Robert Bresson,1944,France,feature,Ocho realizadores franceses,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La bella y la bestia,La belle et la bête,,Jean Cocteau,1946,France,feature,Ocho realizadores franceses,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Día de fiesta,Jour de fête,,Jacques Tati,1949,France,feature,Ocho realizadores franceses,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La granja de los siete pecados,La ferme des sept péchés,,Jean Devaivre,1949,France,feature,Ocho realizadores franceses,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Crin blanca,Crin blanc,,Albert Lamorisse,1953,France,short,Ocho realizadores franceses,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Ciudad de conquista,City for Conquest,,Anatole Litvak,1940,United States,feature,Dos realizadores europeos en Hollywood,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La dama fantasma,Phantom Lady,,Robert Siodmak,1945,United States,feature,Dos realizadores europeos en Hollywood,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Romeo y Julieta aldeanos,Romeo und Julia auf dem Dorfe,,Hans Trommer,1941,Switzerland,feature,El cine suizo,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Estrellas y franjas,Stars and Stripes,,Norman McLaren,1941,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Una fantasía,A Phantasy,,Norman McLaren,1945,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Una pequeña fantasía,A Little Fantasy,,Norman McLaren,1946,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Cantos populares,Chants populaires,,Norman McLaren,1946,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,La rose et le réseda,,André Michel,1947,France,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Fiddle-De-Dee,,Norman McLaren,1947,Canada,short,Cine experimental,repeat,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,The Loon's Necklace,,Grant Crabtree,1948,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Reflexiones de la luz,Light Reflections,,Jim Davis,1949,United States,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El muro,,,Leopoldo Torre Nilsson,1949,Argentina,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Begone Dull Care,,Norman McLaren,1949,Canada,short,Cine experimental,repeat,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Los colores marchan,Marching the Colours,,Guy Clover,1950,United States,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Imágenes para Debussy,Images pour Debussy,,Jean Mitry,1950,France,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Recuerdo de Claude Debussy,Reverie de Claude Debussy,,Jean Mitry,1951,France,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Juego de espirales,Spiel der Spiralen,,Alfred Erhardt,1951,Germany,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Ideitas,,,Víctor Iturralde,1952,Argentina,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,En barca,En bateau,,Jean Mitry,1952,France,short,Cine experimental,repeat,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Vecinos,Neighbours,,Norman McLaren,1952,Canada,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Hic…!,,,Víctor Iturralde,1953,Argentina,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Baladita,,,Víctor Iturralde,1954,Argentina,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Pipiripi,,,Víctor Iturralde,1954,Argentina,short,Cine experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Blinkity Blane,,Norman McLaren,1954,Canada,short,Cine experimental,premiere,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Obsesión,Ossessione,,Luchino Visconti,1943,Italy,feature,Luchino Visconti y el pre-neorrealismo (Italia),,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El ladron de pararrayos,Le voleur de paratonnerres,,P. Grimaut,1946,France,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Cadet Roussell,,"Georges Dunning, Colin Low",1947,Canada,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Zanzabelle en Paris,,Ladislao Starevich,1949,France,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El árbol genealógico,Family Tree,,"Georges Dunning, Evelyn Lambert",1951,Canada,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Los cuatro grandes en la conferencia,,,,1952,Netherlands,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El espíritu motor,The Moving Spirit,,Bob Privett,1952,United Kingdom,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Gazouilly,"Gazouilly, petit oiseau",,Ladislao Starevich,1953,France,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El evangelio de la piedra,L'Evangile de la pierre,,André Bureau,1948,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La escultura francesa en la Edad Media,Images gothiques,,Maurice Cloche,1948,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Imágenes medievales,Images medievales,,William Novik,1949,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El aduanero Rousseau,Le douanier Rousseau,,Lo Duca,1950,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,Arte escultórico holandés medieval,Nederlansche Beeldhuwkunst Tidjens de Late Middeleeuwen,,"Bert Haanstra, Hans Sibbelee",1950,Netherlands,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Miserere,,Abate Morel,1950,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Guernica,,"Alain Resnais, Robert Hessens",1950,France,short,El film de arte,premiere,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Toulouse-Lautrec,,Robert Hessens,1950,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El arte hindú a través de los siglos,,,Mohan Bhavnani,1950,India,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Coeur d'amour epris,,Jean Aurel,1951,France,short,El film de arte,premiere,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La ventana abierta,La fenêtre ouverte,,Henri Storck ,1952,"Belgium, France, Holland, United Kingdom",short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,La ruta de las especias,La route des épices,,William Novik,1952,France,short,El film de arte,premiere,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,September,3,El gabinete del Dr. Caligari,Das Kabinet des Dr. Caligari,,Robert Wiene,1919,Germany,feature,Alemania: Ciclo de revisión ,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,20,La cenicienta,Der Verlorene schuh,,Ludwig Berger,1923,Germany,short,Alemania: Ciclo de revisión ,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Pasiones desatadas,Nju,,Paul Czinner,1924,Germany,feature,Alemania: Ciclo de revisión ,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,September,3,La crónica de Grieshuus,Zur Chronik von Grieshuus,,Arthur von Gerlach,1925,Germany,feature,Alemania: Ciclo de revisión ,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,20,Fausto,Faust,,F.W. Murnau,1926,Germany,feature,Alemania: Ciclo de revisión ,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,El affaire Blum,Affaire Blum,,Erich Engel,1948,Germany,feature,Alemania: Ciclo de revisión ,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Carnívoros entre plantas,Fleischfresse unter den Pflanzen,,Ulrich K. T. Schulz,1954,Germany,short,Alemania: El Kulturfilm,premiere,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Concierto en el charco,Konzert am Tumpel,,Heinz Sielman,1952,Germany,short,Alemania: El Kulturfilm,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,La pequeña locomotora,Die Kleine Lok,,Gerhard Kieper,1955,Germany,short,Alemania: Un cuento de Graham Greene,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,La fuga,,,Luis Saslavsky,1937,Argentina,feature,Argentina: Segundo ciclo de revisión valorativa,repeat,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,September,10,La vuelta al nido,,,Leopoldo Torres Ríos,1937,Argentina,feature,Argentina: Segundo ciclo de revisión valorativa,,,Lecture by Domingo di Núbila
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,27,Callejón sin salida,,,Elias Alippi,1938,Argentina,feature,Argentina: Segundo ciclo de revisión valorativa,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Tigre,,,Carlos Alberto Pessano,1940,Argentina,short,Argentina: Cine documental y experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Playa Grande,,,Carlos Alberto Pessano,1941,Argentina,short,Argentina: Cine documental y experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,September,17,La flecha y un compás,,,David José Kohon,1944,Argentina,short,Argentina: Cine documental y experimental,,,Lecture by Víctor Iturralde on experimental film in Argentina
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,La ciudad frente al río,,,Enrico Gras,1948,Argentina,short,Argentina: Cine documental y experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,27,Los pueblos dormidos,,,Leo Fleider,1948,Argentina,short,Argentina: Cine documental y experimental,repeat,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,El muro,,,Leopoldo Torre Nilsson,1949,Argentina,short,Argentina: Cine documental y experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,"Turay, el enigma de las llanuras",,,Enrico Gras,1950,Argentina,short,Argentina: Cine documental y experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,September,17,Secuencia,,,Carlos Raszella,1950,Argentina,short,Argentina: Cine documental y experimental,premiere,,Lecture by Víctor Iturralde
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Composición no figurativa,,,Rodolfo Bardi,1951,Argentina,short,Argentina: Cine documental y experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,September,17,Ideitas,,,Víctor Iturralde,1952,Argentina,short,Argentina: Cine documental y experimental,repeat,,Lecture by Víctor Iturralde
Cine Club Núcleo,Argentina,Buenos Aires,1956,September,17,Hic…!,,,Víctor Iturralde,1953,Argentina,short,Argentina: Cine documental y experimental,repeat,,Lecture by Víctor Iturralde
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Aventuras de los siglos,,,Enrico Gras,1953,Argentina,short,Argentina: Cine documental y experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,September,17,Puna,,,Víctor Iturralde,1954,Argentina,short,Argentina: Cine documental y experimental,,,Lecture by Víctor Iturralde
Cine Club Núcleo,Argentina,Buenos Aires,1956,September,17,Baladita,,,Víctor Iturralde,1954,Argentina,short,Argentina: Cine documental y experimental,repeat,,Lecture by Víctor Iturralde
Cine Club Núcleo,Argentina,Buenos Aires,1956,September,17,Pipiripi,,,Víctor Iturralde,1954,Argentina,short,Argentina: Cine documental y experimental,repeat,,Lecture by Víctor Iturralde
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Rapsodia en abstracto,,,Alfredo Rubio,1954,Argentina,short,Argentina: Cine documental y experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Un teatro independiente,,,Simón Feldman,1955,Argentina,short,Argentina: Cine documental y experimental,repeat,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Tres movimientos,,,Osías Wilenski,1955,Argentina,short,Argentina: Cine documental y experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Siesta,,,A.J. Vispo,1955,Argentina,short,Argentina: Cine documental y experimental,premiere,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,El proceso,,,Roberto Robertie,1956,Argentina,short,Argentina: Cine documental y experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Los últimos nueve minutos,,,Julio Ingenieros,1956,Argentina,short,Argentina: Cine documental y experimental,premiere,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Despertar,,,Guillermo Maceira,1956,Argentina,short,Argentina: Cine documental y experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,September,17,Un recuerdo de amor,,,Osías Wilenski,1956,Argentina,short,Argentina: Cine documental y experimental,premiere,,Lecture by Víctor Iturralde
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Romance sonámbulo,,,Osías Wilenski,1956,Argentina,short,Argentina: Cine documental y experimental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,6,"Angoti, historia de un niño esquimal","Angotee, Story of an Eskimo Boy",,Douglas Wilkinson,1952,Canada,short,Canada: El National Film Board - El documental,premiere,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,Timidez,Shyness,,Stanley Jackson,1953,Canada,short,Canada: El National Film Board - El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,,Corral,,Colin Low,1954,Canada,short,Canada: El National Film Board - El documental,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,,Let's All Sing Together - No. 4,,,1944,Canada,short,Canada: El National Film Board - Los dibujos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,,Cadet Roussell,,"Georges Dunning, Colin Low",1947,Canada,short,Canada: El National Film Board - Los dibujos animados,repeat,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,El árbol genealógico,Family Tree,,"Georges Dunning, Evelyn Lambert",1951,Canada,short,Canada: El National Film Board - Los dibujos animados,repeat,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,,,La romántica historia del transporte canadiense,The Romance of Transportation in Canada,,Colin Low,1953,Canada,short,Canada: El National Film Board - Los dibujos animados,repeat,,
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,10,Rizos,Loops,,Norman McLaren,1940,Canada,short,Canada: El National Film Board - La obra de Norman McLaren,repeat,,Presentation by Juan Agustín Mahieu 
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,10,Puntos,Dots,,Norman McLaren,1940,Canada,short,Canada: El National Film Board - La obra de Norman McLaren,repeat,,Presentation by Juan Agustín Mahieu 
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,10,Estrellas y franjas,Stars and Stripes,,Norman McLaren,1941,Canada,short,Canada: El National Film Board - La obra de Norman McLaren,repeat,,Presentation by Juan Agustín Mahieu 
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,10,,Boogie-Doodle,,Norman McLaren,1941,Canada,short,Canada: El National Film Board - La obra de Norman McLaren,repeat,,Presentation by Juan Agustín Mahieu 
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,10,,Hen Hop,,Norman McLaren,1942,Canada,short,Canada: El National Film Board - La obra de Norman McLaren,repeat,,Presentation by Juan Agustín Mahieu 
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,10,Cantos populares,Chants populaires,,Norman McLaren,1946,Canada,short,Canada: El National Film Board - La obra de Norman McLaren,repeat,,Presentation by Juan Agustín Mahieu 
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,10,,Pen point percussion,,Norman McLaren,1946,Canada,short,Canada: El National Film Board - La obra de Norman McLaren,repeat,,Presentation by Juan Agustín Mahieu 
Cine Club Núcleo,Argentina,Buenos Aires,1956,August,10,Una fantasía,A Phantasy,,Norman McLaren,1946,Canada,short,Canada: El National Film Board - La obra de Norman McLaren,repeat,,Presentation by Juan Agustín Mahieu 
